lex1;lex_utf81
HLL[;הלל
BQR/;בקר֜
XMWR/;חמור֜
CPXH/;שׁפחה֜
>TWN/;אתון֜
GML/;גמל֜
NG</;נגע֜
KSP/;כסף֜
MS</;מסע֜
TXLH/;תחלה֜
JXDW;יחדו
JKL[;יכל
RJB/;ריב֜
PRZJ/;פרזי֜
>L=;אל
MRJBH/;מריבה֜
>NXNW;אנחנו
FM>L/;שׂמאל֜
JMN[;ימן
JMJN/;ימין֜
FM>L[;שׂמאל
KKR/;ככר֜
JRDN/;ירדן֜
MCQH/;משׁקה֜
Y<R/;צער֜
>HL[;אהל
XV>=/;חטא֜
YPWN/;צפון֜
MNH[;מנה
MMR>=/;ממרא֜
XBRWN=/;חברון֜
>MRPL/;אמרפל֜
MLK/;מלך֜
>RJWK/;אריוך֜
>LSR/;אלסר֜
KDRL<MR/;כדרלעמר֜
TD<L/;תדעל֜
GWJM/;גוים֜
MLXMH/;מלחמה֜
BR</;ברע֜
BRC</;ברשׁע֜
CN>B/;שׁנאב֜
CM>BR/;שׁמאבר֜
BL<===/;בלע֜
XBR[;חבר
<MQ/;עמק֜
FDJM/;שׂדים֜
MLX/;מלח֜
MRD[;מרד
RP>JM=/;רפאים֜
<CTRT_QRNJM/;עשׁתרת קרנים֜
ZWZJ/;זוזי֜
HM/;הם֜
>JMJ/;אימי֜
CWH/;שׁוה֜
QRJTJM/;קריתים֜
XRJ/;חרי֜
F<JR====/;שׂעיר֜
>JL_P>RN/;איל פארן֜
MDBR/;מדבר֜
<JN_MCPV/;עין משׁפט֜
QDC==/;קדשׁ֜
<MLQJ/;עמלקי֜
XYYN_TMR/;חצצן תמר֜
<RK[;ערך
B>R/;באר֜
NWS[;נוס
>KL/;אכל֜
PLJV/;פליט֜
<BRJ/;עברי֜
MMR>/;ממרא֜
>CKL/;אשׁכל֜
<NR/;ענר֜
B<L/;בעל֜
CBH[;שׁבה
RJQ[;ריק
XNJK/;חניך֜
JLJD/;יליד֜
RDP[;רדף
DN/;דן֜
XLQ[;חלק
XWBH/;חובה֜
DMFQ/;דמשׂק֜
QR>=[;קרא
CWH=/;שׁוה֜
MLKJ_YDQ/;מלכי צדק֜
CLM===/;שׁלם֜
KHN/;כהן֜
>L/;אל֜
<LJWN/;עליון֜
MGN[;מגן
YR=/;צר֜
M<FR/;מעשׂר֜
XWV/;חוט֜
FRWK/;שׂרוך֜
N<L/;נעל֜
<CR[;עשׁר
BL<DJ;בלעדי
N<R/;נער֜
XLQ/;חלק֜
MXZH/;מחזה֜
MGN/;מגן֜
FKR/;שׂכר֜
>DNJ/;אדני֜
<RJRJ/;ערירי֜
MCQ/;משׁק֜
>LJ<ZR/;אליעזר֜
JRC[;ירשׁ
M<JM/;מעים֜
NBV[;נבט
SPR[;ספר
KH;כה
>MN[;אמן
XCB[;חשׁב
YDQH/;צדקה֜
<GLH/;עגלה֜
CLC[;שׁלשׁ
<Z==/;עז֜
>JL=/;איל֜
TWR/;תור֜
GWZL/;גוזל֜
BTR[;בתר
BTR/;בתר֜
<JV/;עיט֜
PGR/;פגר֜
NCB[;נשׁב
CMC/;שׁמשׁ֜
>JMH/;אימה֜
XCKH/;חשׁכה֜
GR/;גר֜
<NH=[;ענה
DJN[;דין
CLWM/;שׁלום֜
QBR[;קבר
FJBH/;שׂיבה֜
HNH==;הנה
CLM=/;שׁלם֜
<LVH/;עלטה֜
TNWR/;תנור֜
<CN/;עשׁן֜
LPJD/;לפיד֜
>C/;אשׁ֜
GZR/;גזר֜
QJNJ/;קיני֜
QNZJ/;קנזי֜
QDMNJ=/;קדמני֜
XTJ/;חתי֜
HGR/;הגר֜
<YR[;עצר
>WLJ;אולי
GBRT/;גברת֜
XJQ/;חיק֜
CPV[;שׁפט
BRX[;ברח
ML>K/;מלאך֜
CWR==/;שׁור֜
>N;אן
RB=/;רב֜
HRH/;הרה֜
JCM<>L/;ישׁמעאל֜
<NJ=/;עני֜
PR>/;פרא֜
R>J/;ראי֜
HLM;הלם
LXJ_R>J/;לחי ראי֜
BRD==/;ברד֜
CDJ/;שׁדי֜
HMWN/;המון֜
>BRHM/;אברהם֜
MGWRJM/;מגורים֜
>XZH/;אחזה֜
MWL[;מול
MLL=[;מלל
<RLH/;ערלה֜
MQNH=/;מקנה֜
NKR/;נכר֜
<RL/;ערל֜
PRR[;פרר
FRH=/;שׂרה֜
YXQ[;צחק
LW;לו
>BL;אבל
JYXQ/;יצחק֜
NFJ>/;נשׂיא֜
XMM[;חמם
NYB[;נצב
RWY[;רוץ
XWH[;חוה
M<V/;מעט֜
RXY[;רחץ
C<N[;שׁען
PT/;פת֜
S<D[;סעד
MHR[;מהר
S>H/;סאה֜
QMX/;קמח֜
SLT/;סלת֜
LWC[;לושׁ
<GH/;עגה֜
RK/;רך֜
XM>H/;חמאה֜
XLB/;חלב֜
<MD[;עמד
>JH;איה
ZQN/;זקן֜
>RX/;ארח֜
QRB/;קרב֜
BLH[;בלה
<DNH/;עדנה֜
>DWN/;אדון֜
ZQN[;זקן
>MNM=;אמנם
PL>[;פלא
KXC[;כחשׁ
CQP[;שׁקף
<YWM/;עצום֜
MCPV/;משׁפט֜
Z<QH/;זעקה֜
KBD[;כבד
Y<QH/;צעקה֜
KLH=/;כלה֜
PNH[;פנה
NGC[;נגשׁ
SPH[;ספה
RC</;רשׁע֜
JC/;ישׁ֜
XLJLH;חלילה
<NH[;ענה
J>L[;יאל
>PR/;אפר֜
<FRH=/;עשׂרה֜
C<R/;שׁער֜
LJN[;לין
CKM[;שׁכם
RXB==/;רחב֜
PYR[;פצר
MCTH/;משׁתה֜
MYH/;מצה֜
>PH[;אפה
CKB[;שׁכב
DLT/;דלת֜
R<<[;רעע
>L===;אל
YL/;צל֜
QWRH/;קורה֜
HL>H;הלאה
CBR[;שׁבר
SNWRJM/;סנורים֜
L>H[;לאה
PH;פה
XTN/;חתן֜
KMW;כמו
CXR/;שׁחר֜
>WY[;אוץ
MHH[;מהה
XZQ[;חזק
XMLH/;חמלה֜
MLV[;מלט
XSD/;חסד֜
QRWB/;קרוב֜
MY<R/;מצער֜
GPRJT/;גפרית֜
YMX/;צמח֜
NYJB/;נציב֜
QJVWR/;קיטור֜
KBCN/;כבשׁן֜
HPKH/;הפכה֜
M<RH/;מערה֜
BKJRH/;בכירה֜
Y<JR/;צעיר֜
MXRT/;מחרת֜
>MC/;אמשׁ֜
MW>B/;מואב֜
BN_<MJ/;בן עמי֜
<MWN/;עמון֜
>BJMLK/;אבימלך֜
XLWM/;חלום֜
B<L[;בעל
TM=/;תם֜
LBB/;לבב֜
NQJWN/;נקיון֜
XFK[;חשׂך
XV>[;חטא
NBJ>/;נביא֜
PLL[;פלל
>ZN/;אזן֜
XV>H/;חטאה֜
JR>H/;יראה֜
>MNH;אמנה
T<H[;תעה
>LP=/;אלף֜
KSWT/;כסות֜
JKX[;יכח
RP>[;רפא
>MH/;אמה֜
RXM/;רחם֜
PQD[;פקד
ZQNJM/;זקנים֜
YXQ/;צחק֜
MLL[;מלל
JNQ[;ינק
GML[;גמל
>WDWT/;אודות֜
XMT/;חמת֜
CB<==/;שׁבע֜
CLK[;שׁלך
RXQ[;רחק
VXH[;טחה
MWT/;מות֜
BKH[;בכה
RBH=[;רבה
QCT=/;קשׁת֜
P>RN/;פארן֜
PJKL/;פיכל֜
CB<[;שׁבע
CQR[;שׁקר
NJN/;נין֜
NKD/;נכד֜
GZL[;גזל
KBFH/;כבשׂה֜
<DH=/;עדה֜
XPR=[;חפר
>CL/;אשׁל֜
NSH[;נסה
JXJD/;יחיד֜
>HB[;אהב
MRJH/;מריה֜
XBC[;חבשׁ
RXWQ/;רחוק֜
M>KLT/;מאכלת֜
FH/;שׂה֜
<QD[;עקד
CXV[;שׁחט
M>WMH/;מאומה֜
JR>/;ירא֜
>XZ[;אחז
SBK/;סבך֜
QRN/;קרן֜
N>M/;נאם֜
J<N/;יען֜
XWL/;חול֜
>JB[;איב
<QB/;עקב֜
BWZ=/;בוז֜
QMW>L/;קמואל֜
KFD/;כשׂד֜
XZW/;חזו֜
PLDC/;פלדשׁ֜
JDLP/;ידלף֜
BTW>L/;בתואל֜
RBQH/;רבקה֜
PLGC/;פלגשׁ֜
R>WMH/;ראומה֜
VBX==/;טבח֜
GXM/;גחם֜
TXC=/;תחשׁ֜
M<KH/;מעכה֜
QRJT_>RB</;קרית ארבע֜
SPD[;ספד
TWCB/;תושׁב֜
QBR/;קבר֜
MBXR/;מבחר֜
PG<[;פגע
<PRWN/;עפרון֜
YXR=/;צחר֜
MKPLH/;מכפלה֜
ML>/;מלא֜
CQL/;שׁקל֜
CQL[;שׁקל
SXR[;סחר
SBJB/;סביב֜
JRK/;ירך֜
>BH[;אבה
NQH[;נקה
CBW<H/;שׁבועה֜
VWB=/;טוב֜
BRK=[;ברך
C>B[;שׁאב
QRH[;קרה
N<RH/;נערה֜
KD/;כד֜
BTWLH/;בתולה֜
GM>[;גמא
<RH[;ערה
CQT/;שׁקת֜
C>H==[;שׁאה
XRC[;חרשׁ
YLX[;צלח
NZM/;נזם֜
BQ</;בקע֜
MCQL/;משׁקל֜
YMJD/;צמיד֜
TBN/;תבן֜
MSPW>/;מספוא֜
QDD[;קדד
>MT/;אמת֜
NXH[;נחה
LBN=/;לבן֜
ZQNH/;זקנה֜
MCPXT/;משׁפחת֜
>LH=/;אלה֜
NQJ/;נקי֜
<LMH/;עלמה֜
C>L[;שׁאל
>W;או
KLJ/;כלי֜
BGD/;בגד֜
MGDNWT/;מגדנות֜
<FWR/;עשׂור֜
>XR[;אחר
MJNQT/;מינקת֜
RBBH/;רבבה֜
FN>[;שׂנא
RKB[;רכב
FWX[;שׂוח
LZH;לזה
Y<JP/;צעיף֜
QVWRH=/;קטורה֜
ZMRN/;זמרן֜
JQCN/;יקשׁן֜
MDN/;מדן֜
MDJN=/;מדין֜
JCBQ/;ישׁבק֜
CWX/;שׁוח֜
>CWRJM/;אשׁורים֜
LVWCJM/;לטושׁים֜
L>MJM/;לאמים֜
<JPH=/;עיפה֜
<PR==/;עפר֜
>BJD</;אבידע֜
>LD<H/;אלדעה֜
MTNH/;מתנה֜
FB<=/;שׂבע֜
QNH[;קנה
NBJWT/;נביות֜
QDR/;קדר֜
>DB>L/;אדבאל֜
MBFM/;מבשׂם֜
MCM<=/;משׁמע֜
DWMH=/;דומה֜
MF>===/;משׂא֜
XDD/;חדד֜
TJM>/;תימא֜
JVWR/;יטור֜
NPJC/;נפישׁ֜
QDMH==/;קדמה֜
XYR/;חצר֜
VJRH/;טירה֜
>MH==/;אמה֜
>RMJ/;ארמי֜
PDN/;פדן֜
<TR[;עתר
NKX=/;נכח֜
RYY[;רצץ
BVN/;בטן֜
L>M/;לאם֜
>MY[;אמץ
TW>MM/;תואמם֜
>DMNJ/;אדמני֜
>DRT/;אדרת֜
F<R/;שׂער֜
<FW/;עשׂו֜
J<QB/;יעקב֜
TM/;תם֜
ZJD[;זיד
NZJD/;נזיד֜
<JP/;עיף֜
L<V[;לעט
>DM=/;אדם֜
>DWM/;אדום֜
MKR[;מכר
BKRH/;בכרה֜
<DCH/;עדשׁה֜
BZH[;בזה
MCMRT/;משׁמרת֜
MYWH/;מצוה֜
XQH/;חקה֜
TWRH/;תורה֜
>RK[;ארך
>JK;איך
>CM/;אשׁם֜
C<R=/;שׁער֜
GDL=/;גדל֜
<BDH=/;עבדה֜
QN>[;קנא
STM[;סתם
<YM[;עצם
XNH[;חנה
NXL/;נחל֜
RJB[;ריב
<FQ/;עשׂק֜
<FQ[;עשׂק
FVNH=/;שׂטנה֜
RXBWT/;רחבות֜
RXB[;רחב
KRH[;כרה
>XZT/;אחזת֜
MR</;מרע֜
MDW<;מדוע
CB<H/;שׁבעה֜
JHWDJT/;יהודית֜
B>RJ/;בארי֜
BFMT/;בשׂמת֜
>JLWN/;אילון֜
MRH/;מרה֜
KHH[;כהה
TLJ/;תלי֜
YWD[;צוד
MV<MJM/;מטעמים֜
GDJ/;גדי֜
F<JR===/;שׂעיר֜
XLQ=/;חלק֜
MCC[;משׁשׁ
T<<[;תעע
QLLH/;קללה֜
XMDWT/;חמדות֜
XLQH=/;חלקה֜
YW>R/;צואר֜
MWC=[;מושׁ
NKR[;נכר
NCQ[;נשׁק
VL/;טל֜
CMN==/;שׁמן֜
DGN/;דגן֜
TJRWC/;תירושׁ֜
HWH[;הוה
GBJR/;גביר֜
XRD[;חרד
XRDH/;חרדה֜
>PW;אפו
MR/;מר֜
MRMH/;מרמה֜
<QB[;עקב
>YL[;אצל
SMK[;סמך
<L=/;על֜
RDD[;רדד
PRQ[;פרק
<L/;על֜
FVM[;שׂטם
>BL==/;אבל֜
XMH/;חמה֜
CKX[;שׁכח
CKL[;שׁכל
QWY[;קוץ
QHL/;קהל֜
MXLT=/;מחלת֜
MR>CWT/;מראשׁות֜
XLM[;חלם
SLM/;סלם֜
PRY[;פרץ
CNH=/;שׁנה֜
>KN;אכן
MYBH/;מצבה֜
JYQ[;יצק
CMN/;שׁמן֜
>WLM;אולם
LWZ=/;לוז֜
NDR[;נדר
NDR/;נדר֜
<FR[;עשׂר
<DR/;עדר֜
GLL[;גלל
>JN;אין
RXL=/;רחל֜
CM</;שׁמע֜
XBQ[;חבק
XNM;חנם
MFKRT/;משׂכרת֜
L>H/;לאה֜
T>R/;תאר֜
>HBH/;אהבה֜
ZLPH/;זלפה֜
